Date,Open,High,Low,Close
05/29/2025,"4.089%","4.131%","3.973%","4.006%"
05/28/2025,"4.016%","4.095%","4.016%","4.089%"
05/27/2025,"3.975%","4.061%","3.952%","4.016%"
05/25/2025,"3.975%","3.975%","3.975%","3.975%"
05/23/2025,"4.038%","4.080%","3.969%","3.975%"
05/22/2025,"4.076%","4.108%","4.021%","4.038%"
05/21/2025,"4.058%","4.118%","4.056%","4.076%"
05/20/2025,"4.006%","4.095%","3.951%","4.058%"
05/19/2025,"4.001%","4.055%","3.972%","4.006%"
05/16/2025,"3.977%","4.018%","3.927%","4.001%"
05/15/2025,"4.028%","4.036%","3.965%","3.977%"
05/14/2025,"3.992%","4.054%","3.971%","4.028%"
05/13/2025,"4.009%","4.035%","3.957%","3.992%"
05/12/2025,"3.912%","4.020%","3.912%","4.009%"
05/09/2025,"3.960%","3.986%","3.873%","3.912%"
05/08/2025,"3.811%","3.960%","3.793%","3.960%"
05/07/2025,"3.839%","3.864%","3.783%","3.811%"
05/06/2025,"3.874%","3.937%","3.793%","3.839%"
05/04/2025,"3.874%","3.874%","3.874%","3.874%"
05/02/2025,"3.841%","3.878%","3.754%","3.874%"
05/01/2025,"3.807%","3.853%","3.766%","3.841%"
04/30/2025,"3.854%","3.855%","3.797%","3.807%"
04/29/2025,"3.877%","3.881%","3.816%","3.854%"
04/28/2025,"3.861%","3.906%","3.859%","3.877%"
04/25/2025,"3.878%","3.910%","3.857%","3.861%"
04/24/2025,"3.929%","3.929%","3.855%","3.878%"
04/23/2025,"3.843%","3.950%","3.803%","3.929%"
04/22/2025,"3.920%","3.920%","3.827%","3.843%"
04/20/2025,"3.920%","3.920%","3.920%","3.920%"
04/17/2025,"3.973%","4.017%","3.904%","3.920%"
04/16/2025,"3.969%","3.989%","3.875%","3.973%"
04/15/2025,"4.017%","4.037%","3.940%","3.969%"
04/14/2025,"4.068%","4.068%","3.986%","4.017%"
04/11/2025,"3.906%","4.072%","3.868%","4.068%"
